"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Kuopio Savilahti","2023","11","1","02:00","3"
"Kuopio Savilahti","2023","11","2","02:00","9"
"Kuopio Savilahti","2023","11","3","02:00","10"
"Kuopio Savilahti","2023","11","4","02:00","9"
"Kuopio Savilahti","2023","11","5","02:00","3"
"Kuopio Savilahti","2023","11","6","02:00","-1"
"Kuopio Savilahti","2023","11","7","02:00","-1"
"Kuopio Savilahti","2023","11","8","02:00","-1"
"Kuopio Savilahti","2023","11","9","02:00","2"
"Kuopio Savilahti","2023","11","10","02:00","-1"
"Kuopio Savilahti","2023","11","11","02:00","-1"
"Kuopio Savilahti","2023","11","12","02:00","2"
"Kuopio Savilahti","2023","11","13","02:00","2"
"Kuopio Savilahti","2023","11","14","02:00","2"
"Kuopio Savilahti","2023","11","15","02:00","2"
"Kuopio Savilahti","2023","11","16","02:00","2"
"Kuopio Savilahti","2023","11","17","02:00","3"
"Kuopio Savilahti","2023","11","18","02:00","3"
"Kuopio Savilahti","2023","11","19","02:00","3"
"Kuopio Savilahti","2023","11","20","02:00","2"
"Kuopio Savilahti","2023","11","21","02:00","7"
"Kuopio Savilahti","2023","11","22","02:00","6"
"Kuopio Savilahti","2023","11","23","02:00","15"
"Kuopio Savilahti","2023","11","24","02:00","16"
"Kuopio Savilahti","2023","11","25","02:00","15"
"Kuopio Savilahti","2023","11","26","02:00","14"
"Kuopio Savilahti","2023","11","27","02:00","15"
"Kuopio Savilahti","2023","11","28","02:00","21"
"Kuopio Savilahti","2023","11","29","02:00","19"
"Kuopio Savilahti","2023","11","30","02:00","20"
"Kuopio Savilahti","2023","12","1","02:00","18"
"Kuopio Savilahti","2023","12","2","02:00","21"
"Kuopio Savilahti","2023","12","3","02:00","22"
"Kuopio Savilahti","2023","12","4","02:00","21"
"Kuopio Savilahti","2023","12","5","02:00","22"
"Kuopio Savilahti","2023","12","6","02:00","23"
"Kuopio Savilahti","2023","12","7","02:00","23"
"Kuopio Savilahti","2023","12","8","02:00","22"
"Kuopio Savilahti","2023","12","9","02:00","19"
"Kuopio Savilahti","2023","12","10","02:00","27"
"Kuopio Savilahti","2023","12","11","02:00","29"
"Kuopio Savilahti","2023","12","12","02:00","28"
"Kuopio Savilahti","2023","12","13","02:00","31"
"Kuopio Savilahti","2023","12","14","02:00","32"
"Kuopio Savilahti","2023","12","15","02:00","30"
"Kuopio Savilahti","2023","12","16","02:00","29"
"Kuopio Savilahti","2023","12","17","02:00","34"
"Kuopio Savilahti","2023","12","18","02:00","33"
"Kuopio Savilahti","2023","12","19","02:00","32"
"Kuopio Savilahti","2023","12","20","02:00","38"
"Kuopio Savilahti","2023","12","21","02:00","37"
"Kuopio Savilahti","2023","12","22","02:00","36"
"Kuopio Savilahti","2023","12","23","02:00","38"
"Kuopio Savilahti","2023","12","24","02:00","41"
"Kuopio Savilahti","2023","12","25","02:00","43"
"Kuopio Savilahti","2023","12","26","02:00","47"
"Kuopio Savilahti","2023","12","27","02:00","46"
"Kuopio Savilahti","2023","12","28","02:00","44"
"Kuopio Savilahti","2023","12","29","02:00","43"
"Kuopio Savilahti","2023","12","30","02:00","43"
"Kuopio Savilahti","2023","12","31","02:00","41"
"Kuopio Savilahti","2024","1","1","02:00","41"
"Kuopio Savilahti","2024","1","2","02:00","41"
"Kuopio Savilahti","2024","1","3","02:00","42"
"Kuopio Savilahti","2024","1","4","02:00","42"
"Kuopio Savilahti","2024","1","5","02:00","42"
"Kuopio Savilahti","2024","1","6","02:00","42"
"Kuopio Savilahti","2024","1","7","02:00","42"
"Kuopio Savilahti","2024","1","8","02:00","37"
"Kuopio Savilahti","2024","1","9","02:00","42"
"Kuopio Savilahti","2024","1","10","02:00","41"
"Kuopio Savilahti","2024","1","11","02:00","40"
"Kuopio Savilahti","2024","1","12","02:00","40"
"Kuopio Savilahti","2024","1","13","02:00","40"
"Kuopio Savilahti","2024","1","14","02:00","50"
"Kuopio Savilahti","2024","1","15","02:00","52"
"Kuopio Savilahti","2024","1","16","02:00","53"
"Kuopio Savilahti","2024","1","17","02:00","52"
"Kuopio Savilahti","2024","1","18","02:00","50"
"Kuopio Savilahti","2024","1","19","02:00","61"
"Kuopio Savilahti","2024","1","20","02:00","61"
"Kuopio Savilahti","2024","1","21","02:00","59"
"Kuopio Savilahti","2024","1","22","02:00","58"
"Kuopio Savilahti","2024","1","23","02:00","58"
"Kuopio Savilahti","2024","1","24","02:00","54"
"Kuopio Savilahti","2024","1","25","02:00","53"
"Kuopio Savilahti","2024","1","26","02:00","52"
"Kuopio Savilahti","2024","1","27","02:00","52"
"Kuopio Savilahti","2024","1","28","02:00","52"
"Kuopio Savilahti","2024","1","29","02:00","52"
"Kuopio Savilahti","2024","1","30","02:00","51"
"Kuopio Savilahti","2024","1","31","02:00","51"
"Kuopio Savilahti","2024","2","1","02:00","50"
